feature,importance,ticker
lag_20,0.02758676399954616,META
lag_5,0.027287472244225057,META
drawdown,0.02649140902447968,META
momentum_21,0.026266113148493267,META
hl_range,0.025182738241870572,META
volatility,0.02403256139745196,META
vwap_ratio,0.022115739957067483,META
return,0.021039106595186062,META
oc_range,0.019600771881575208,META
day_of_week,0.006793057571441794,META
quarter,0.004055784500724235,META
ma_50,0.10269164932361835,TSLA
drawdown,0.09809691072039634,TSLA
ma_200,0.0845139152765798,TSLA
week_of_year,0.06629047881447925,TSLA
log_volume,0.06168218295965702,TSLA
rsi_ma,0.05639474320224648,TSLA
vol_ratio,0.04717468168808206,TSLA
sentiment_vol,0.044147629640528936,TSLA
bb_position,0.04365681864405694,TSLA
bb_width,0.040638746394989315,TSLA
momentum_63,0.029078032351119852,TSLA
momentum_10,0.028618946533223805,TSLA
sentiment_ma5,0.027324924183712462,TSLA
volatility_21,0.025275709629706277,TSLA
momentum_21,0.025082226905463065,TSLA
volatility,0.025010838179389976,TSLA
atr_ratio,0.022824149728844438,TSLA
sentiment_score,0.022148876668257236,TSLA
obv_change,0.020369232263919533,TSLA
rsi_change,0.018926122180046672,TSLA
rsi,0.0173637942390639,TSLA
lag_5,0.014016697134963101,TSLA
hl_range,0.014010635162647013,TSLA
lag_20,0.013050301573122697,TSLA
volume_ratio,0.012517175709549976,TSLA
return,0.009113037552733847,TSLA
vwap_ratio,0.008467866283290113,TSLA
lag_1,0.008043525047118038,TSLA
oc_range,0.007413074131082611,TSLA
quarter,0.003609130859601788,TSLA
day_of_week,0.0024479470185091914,TSLA
ma_200,0.05758791184677949,NVDA
ma_50,0.05558338876294735,NVDA
atr_ratio,0.04949068603523303,NVDA
volatility,0.044796251199977155,NVDA
bb_width,0.04331453032447161,NVDA
volatility_21,0.0426240796928843,NVDA
momentum_63,0.04073127454895222,NVDA
rsi_ma,0.04060208128269579,NVDA
bb_position,0.03802959741593771,NVDA
sentiment_vol,0.03700378437303572,NVDA
momentum_21,0.03520403089475716,NVDA
sentiment_ma5,0.034177808132445815,NVDA
vol_ratio,0.03349828858044879,NVDA
week_of_year,0.033145925344442356,NVDA
obv_change,0.03272960188742864,NVDA
volume_ratio,0.031713621774037866,NVDA
rsi,0.031096500441588883,NVDA
rsi_change,0.030947147625749495,NVDA
sentiment_score,0.030352163239429547,NVDA
drawdown,0.030258341151283893,NVDA
momentum_10,0.030077420806460156,NVDA
log_volume,0.029880068464462048,NVDA
hl_range,0.025393478183081665,NVDA
lag_20,0.023801804891469987,NVDA
vwap_ratio,0.021980349515102398,NVDA
lag_1,0.02146136685095942,NVDA
lag_5,0.020998806732928286,NVDA
return,0.02020988834173328,NVDA
oc_range,0.01951417104031132,NVDA
quarter,0.007981658322712736,NVDA
day_of_week,0.00581397229625175,NVDA
